Kapital strukturunda dəyişikliklər haqqında hesabat,,,,,
(min manatla),,,,,
Kapital Dəyişmələri,,"İlin əvvəlinə 
qalıq","Mərkəzi Banka göndərilmiş  
dəqiqləşdirilmiş kumulyativ 
düzəlişlər","Müddət ərzində 
dəyişikliklər","Müddətin 
sonuna qalıq"
1,2,3,4,5,6
1. Adi Səhmlər,1,"205,850",-,-,"205,850"
2. Müddətsiz İmtiyazlı Səhmlər,2,"60,000",-,-,"60,000"
3. Geriyə alınmış adi səhmlər,3,-,-,-,-
,4. Geriyə alınmış müddətsiz imtiyazlı səhmlər,-,-,-,-
,5. Adi səhmlərin nominal və bazar qiymətləri arasındakı fərq,,-,-,800
,6. Müddətsiz İmtiyazlı səhmlərin nominal və bazar qiymətləri arasındakı fərq,,-,-,-
7. Dividendlər,7,X,X,"176,113","176,113"
"a) ödənilmiş adi səhmlər üzrə 
elan olunmuş dividendlər",7a,X,X,"167,113","167,113"
"b) ödənilmiş müddətsiz 
imtiyazlı səhmlər üzrə elan 
olunmuş dividendlər",7b,X,X,"9,000","9,000"
8. Bölüşdürülməmiş xalis mənfəət (zərər)8,,"346,717",-,"232,169","578,886"
,a) Əvvəlki illərin xalis mənfəəti (zərəri),"326,647",-,"66,096","392,742"
b) Cari ilin xalis mənfəət (zərəri),8b,X,X,"166,073","166,073"
c) Kapital ehtiyatları,8c,"20,070",-,-,"20,070"
9. Ümumi ehtiyatlar,9,"55,721",-,"5,119","60,840"
"a) kreditlərdən və banklararası  
tələblər üzrə mümkün zərərlərin 
ödənilməsi üçün adi ehtiyatlar",9a,"26,985",-,"5,159","32,143"
"b) digər aktivlərdən olan 
mümkün zərərlərin ödənilməsi 
üçün adi ehtiyatlar",9b,"19,651",-,(373),"19,278"
"c) əsas vəsaitlərin yenidən 
qiymətləndirilməsi",9c,"2,065",-,333,"2,398"
"d) qiymətli kağızların yenidən 
qiymətləndirilməsi",9d,"7,020",-,-,"7,020"
e) digər ümumi ehtiyatlar,9e,-,-,-,-
10. Cəmi kapital,10,"669,088",-,"237,288","906,376"
