C. Balansdankənar öhdəliklər,,,,,,,,,Ödəniş müddətinin başlanmasına qalmış günlər (illər),,,,,,,,,,,O cumlədən,
,,"ani 
 1-7",8-14,15-30,31-60,"61-90  
 91-120",121-150,151-180,181-210,211-240,241-270,271-300,301-330,331-365 (366),1-2 il,2-3 il,3-5 il,"5 ildən artıq 
 Cəmi",sabit faizlə,dəyişkən faizlə,faizsiz
"1. Aktivlərin əldə edilməsi üzrə öhdəliklər daxil olmaqla, kredit",,,,,,,,,,,,,,,,,,,,,
,C1,"1,834,169","489,112","122,278",,,,,,,,,,,,,,"2,445,559","2,445,558.80",-,-
"alətləri, cəmi",,,,,,,,,,,,,,,,,,,,,
"2. Qarantiyalar və bu qəbildən olan öhdəliklər, cəmi",C2,"-                    233,857","19,207","68,328","164,424","92,191 
                155,281","99,102","100,885","77,254","73,691","63,462","55,485","18,511","181,937","202,950","53,135","8,752","-                1,668,451","1,668,450.97",-,-
"3. Akkreditivlər, cəmi",C3,"-                        1,006",-,-,-,-,"-                        1,591","5,105",-,-,-,-,-,"-                        2,179",,-,-,"-                        9,880","9,879.83",,
"4. Xarici valyuta müqavilələri üzrə təəhhüdlər, cəmi",C4,"-   
                           -",-,-,-,"-                      17,000",-,-,-,-,-,-,-,-,-,-,-,"-                      17,000","17,000.00",-,-
"5. Qiymətli kağızlar alınması/satılması üzrə təəhhüdlər, cəmi",C5,,,,,,,,,,,,,,,,,-,-,-,-
6. Digər maliyyə alətlərinin və ya əmtəələrin alınması/satılması üzrə,,,,,,,,,,,,,,,,,,,,,
,C6,,,,,,,,,,,,,,,,,-,-,-,-
"təəhhüdlər, cəmi",,,,,,,,,,,,,,,,,,,,,
7. Digər balansdankənar öhdəliklər,C7,,,,,,,,,,,,,,,,,-,-,-,-
8. Cəmi balansdankənar öhdəliklər,C8,"-                2,069,032","508,318","190,606","164,424","92,191 
                172,281","100,693","105,990","77,254","73,691","63,462","55,485","18,511","181,937","205,128","53,135","8,752","-                4,140,890","4,140,890",-,-
9. Hər dövr üçün maliyyə aktivlərinin (passivlərinin) xalis məbləği.,C9,"(5,775,644)
           (1,815,973)","(243,351)","289,661","(192,385)","(175,147)
              (195,927)","(18,106)","(173,962)","(229,150)","9,019","39,267","50,910","65,153","(39,886)","2,296,848","841,446","527,618","598,721 
           (4,140,890)","93,736","-              (1,468,198)",
"9.1.(Çıx) Bloklaşdırılmış hesablar,cəmi",C9_1,"-   
                           -",-,-,-,"-   
                           -",-,-,-,-,-,-,-,-,-,-,"-                1,479,034","1,479,034","1,479,034",-,-
10. Kumulyativ məcmu,C10,"(5,775,644)
           (1,815,973)","(243,351)","289,661","(192,385)","(175,147)
              (195,927)","(18,106)","(173,962)","(229,150)","9,019","39,267","50,910","65,153","(39,886)","2,296,848","841,446","527,618","(880,313)
           (5,619,923)","(322,173)","-              (1,468,198)",
11. Hesabat dövrünün son ayına likvid aktivlərin orta gündəlik,,X,X,X,X,"X
X",X,X,X,X,X,X,X,X,X,X,X,"X
X",X,X,X
,C11,"3,158,655",,,,,,,,,,,,,,,,,,,
qalığları (cədvəl M5),,,,,,,,,,,,,,,,,,,,,
12. Hesabat dövrünün son ayına öhdəliklərin orta gündəlik qalığı,,X,X,X,X,"X
X",X,X,X,X,X,X,X,X,X,X,X,"X
X",X,X,X
,C12,"6,679,656",,,,,,,,,,,,,,,,,,,
(cədvəl M6),,,,,,,,,,,,,,,,,,,,,
13.   Ani likvidlik əmsalı,C13,"X
                          47",X,X,X,"X
X",X,X,X,X,X,X,X,X,X,X,X,"X
X",X,X,X
,,"0-3 ay 
 3-6 ay",6-9 ay,9-12 ay,1-2 il,"2-3 il 
 3-5 il",5 ildən artıq,Cəmi,,,,,,,,,,,,,
Faiz dərəcəsinə həssas cəmi aktivlər,C1,"1,454,023 
                711,688","572,605","720,073","2,675,671","964,313 
                604,872","684,326","8,387,569",,,,,,,,,,,,,
Faiz dərəcəsinə həssas cəmi öhdəliklər,C1,"3,145,437 
                720,720","539,063","387,963","173,694","69,733 
                  68,501","698,598","5,803,709",,,,,,,,,,,,,
Qəp,C1,"(1,691,415)
                   (9,032)","33,542","332,110","2,501,976","894,581 
                536,370","(14,272)",,,,,,,,,,,,,,
Kumulyativ qəp,C1,"673,318 
           (1,700,446)","(1,666,905)","(1,334,795)","1,167,181","2,061,762 
             2,598,132","2,583,860",,,,,,,,,,,,,,
