"","","","","","","Kredit riski","","","","","","","","","","","",""
"Kredit portfelinin keyfiyyəti","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","Əsas məbləğ üzrə borc","","","","","","",""
"","Kredit portfelinin sektorlar üzrə bölgüsü","Cəmi","","","","","","","","","Vaxtı keçmiş günlər","","","","","","",""
"","","","Cari","","","","","","","","","","","","","","",""
"","","","","1-30 gün","31-60 gün","61-90 gün","91-120 gün","121-150 gün","","151-180 gün","","181-210 gün","211-240 gün","241-270 gün","271-300 gün","301-330 gün","331-365 (366) gün","1 il və  artıq"
"Kredit portfeli, o cümlədən","","5,211,208","4,979,191","134,389","29,090","12,568","8,509","8,333","","5,290","","4,735","2,668","3,042","5,300","2,121","3,476","12,498"
"-Biznes","","1,666,458","1,621,936","17,041","6,917","2,161","1,537","","2,723","","289","331","470","478","3,350","268","1,271","7,687"
"-İstehlak","","2,939,440","2,787,453","85,434","20,230","9,617","6,943","","5,554","","5,001","4,367","2,198","2,073","1,950","1,853","2,205","4,563"
"-Daşınmaz əmlak","","605,309","569,802","31,914","1,942","790","30","","57","","-","38","","490","","-","-","248"
"-Digər kreditlər","","","","","","","","","","","","","","","","","",""
"Kreditlərin təminat üzrə bölgüsü","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","min manatla","","","","","","",""
"","Kredit portfelinin sektorlar üzrə bölgüsü","Cəmi","Təminatsız","Nağd vəsaitlə təmin","Qızıl təminatlı","Daşınmaz əmlakla","Daşınar əmlakla","Qarantiyalar ilə təmin","","Kredit törəmə alətləri ilə təmin","","","","","","","",""
"","","","","olunan","","təmin olunan","təmin olunan","olunan","","olunan","","","","","","","",""
"Kredit portfeli, o cümlədən","","","5,211,208
                     
4,035,889","376,630","-","753,664","45,024","","-","","-","","","","","","",""
"-Biznes","","","1,666,458
                     
1,157,100","315,979","-","148,355","45,024","","-","","-","","","","","","",""
"-İstehlak","","","2,939,440
                     
2,878,789","60,651","-","","-","","-","","-","","","","","","",""
"-Daşınmaz əmlak","","","605,309
                                  
-","-","-","605,309","-","","-","","-","","","","","","",""
"-Digər kreditlər","","","-","-","-","","-","","-","","-","","","","","","",""
"","","","","Likvidlik riski","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","min manatla","","","",""
"","","Ödəniş müddətinin bitməsinə qalan günlər","Ani","1 - 7 gün","8-30 gün","3-6 ay","6 ay- 9 ay","9 ay-1 il","","1-2 il","","2-5 il","5 ildən çox","Ümumi","","","",""
"","1","Aktivlər","1,247,415","253,274","1,397,097","711,688","572,605","","720,073","","2,675,671","1,569,185","2,225,262","11,372,270","","","",""
"","1.1","Nağd pul və ekvivalentləri","1,114,419","-","-","","-","","-","","-","-","1,479,034","2,593,453","","","",""
"","1.2","Qiymətli kağızlar","110","-","803,919","211,967","128,537","","280,559","","1,115,016","270,422","140,449","2,950,978","","","",""
"","1.3","Müştərilərə verilmiş kreditlər (xalis)","6,225","46,654","414,179","486,973","431,881","","435,484","","1,558,727","1,298,259","532,827","5,211,208","","","",""
"","1.4","Kredit təşkilarına və digər maliyyə institutlarına verilmiş kreditlər (xalis)","-","-","5,818","445","780","","4,030","","1,928","504","11,050","24,556","","","",""
"","","Əks REPO əməliyyatları üzrə","-","-","159,875","","-","","-","","-","-","","159,875","","","",""
"","1.5","Qısamüddətli maliyyə alətləri","","532","-","","-","","-","","-","-","","532","","","",""
"","1.6","Törəmə maliyyə alətləri","-","-","-","","-","","-","","-","-","","","","","",""
"","1.7","Bankın depozitləri","3,404","-","13,306","12,303","11,407","","-","","-","-","","40,421","","","",""
"","1.8","“Nostro"" hesabları","123,256","-","-","","-","","-","","-","-","","123,256","","","",""
"","","16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün məqsədli ehtiyatlar","-","-","-","","-","","-","","-","-","(611,547)","(611,547)","","","",""
"","2","Digər maliyyə aktivlər","-","206,089","-","","-","","-","","-","-","673,450","879,539","","","",""
"","2.1","Öhdəliklər","7,023,058","215","762,781","620,720","539,063","","487,963","","173,694","138,234","1,626,541","11,372,270","","","",""
"","2.2","ARMB və dövlət təşkilatlarının banka qarşı tələbləri","-","-","-","","-","","-","","-","-","","","","","",""
"","2.3","Kredit təşkilatları və digər maliyyə institutlarından cəlb edilmiş vəsaitlər","0","215","42,800","829","1,531","2,542","","15,419","","72,605","452,097","588,039","","","",""
"","2.3.1","Müştərilərin depozitləri:","6,508,605","-","719,981","619,891","537,532","","385,421","","158,275","48,629","0","8,978,334","","","",""
"","2.3.2","tələbli depozitlər","6,508,571","-","-","","-","","-","","-","-","","6,508,571","","","",""
"","2.4","müddətli depozitlər","34","-","719,981","619,891","537,532","","385,421","","158,275","48,629","0","2,469,763","","","",""
"","2.5","Subordinasiya öhdəlikləri","-","-","-","","-","","-","","-","17,000","246,500","263,500","","","",""
"","2.6","Borc qiymətli kağızları","-","-","-","","-","","100,000","","-","-","","100,000","","","",""
"","3","“Loro"" hesabları","10,927","-","-","","-","","-","","-","-","","10,927","","","",""
"","","Digər maliyyə öhdəliklər","503,526","-","-","","-","","-","","-","-","","503,526","","","",""
"","","Kapital","-","-","-","","-","","-","","-","-","927,943","927,943","","","",""
"","","Likvidlik ""qəpi""","(5,775,644)","253,059","634,316","90,968","33,542","","232,110","","2,501,976","1,430,951","598,721","","","","",""
"","","Valyuta riski","","","","","","","","","","","","","","","",""
"","","","","","","","min manatla","","","","","","","","","","",""
"","","Maliyyə aktivləri və öhdəlikləri","Cəmi","AZN","ABŞ Dolları","Avro","Digər","","","","","","","","","","",""
"","1","Aktivlər","11,372,270","9,170,609","2,088,443","94,789","18,429","","","","","","","","","","",""
"","1.1","Nağd və nağd pul ekvivalentləri","2,716,708","2,144,965","467,757","86,230","17,756","","","","","","","","","","",""
"","1.2","Qiymətli kağızlar","3,110,743","1,948,120","1,162,624","-","-","","","","","","","","","","",""
"","1.3","Müştərilərə verilmiş kreditlər","4,620,255","4,242,075","372,425","5,755","-","","","","","","","","","","",""
"","1.4","Kredit təşkilatlarına və digər maliyyə institutlarına verilmiş kreditlər","64,976","18,606","46,371","-","-","","","","","","","","","","",""
